Symbol,revenue,eps_basic,cash_and_equiv,total_assets,total_liabilities,retained_earnings,total_liabilities_and_equity,cf_cfo,total_assets_growth,equity_to_assets,period_end_date,Average_Stock_Value_After_Result
ES,2290590000,0.75,89150000.0,28096870000,18217369000,2237710000,28096870000.0,493796000,-0.0081,0.3516,2014-03,45.82206350659568
ES,1677600000,0.4,34096000.0,27790445000,17881070000,2241025000,27790445000.0,402867000,-0.0144,0.3565,2014-06,44.98873023381309
ES,1892500000,0.74,41706000.0,27982311000,17936191000,2351421000,27982311000.0,507354000,-0.0162,0.359,2014-09,49.80380945357065
ES,1881200000,0.69,38703000.0,29740387000,19608004000,2448661000,29740387000.0,247959000,0.0699,0.3406,2014-12,52.63725816049883
ES,2513400000,0.8,71027000.0,29951765000,19685792000,2569482000,29951765000.0,491541000,0.066,0.3427,2015-03,48.56460304865762
ES,1817100000,0.65,36469000.0,29879939000,19539318000,2644485000,29879939000.0,373741000,0.0751,0.346,2015-06,48.13857148185609
ES,1933100000,0.74,35781000.0,30046026000,19596028000,2747977000,30046026000.0,486035000,0.0737,0.3477,2015-09,50.87333340115018
ES,1691200000,0.57,23947000.0,30580309000,20072526000,2797355000,30580309000.0,-651265000,0.0282,0.3436,2015-12,54.438196651271134
ES,2055600000,0.77,50966000.0,30712475000,20118408000,2900351000,30712475000.0,499964000,0.0253,0.3449,2016-03,56.529218792915344
ES,1767200000,0.64,38726000.0,30882663000,20217687000,2962843000,30882663000.0,478474000,0.0335,0.3453,2016-06,56.48015891181098
ES,2039700000,0.83,40056000.0,31082337000,20289385000,3087006000,31082337000.0,671930000,0.0344,0.3472,2016-09,53.44063501509409
ES,1776600000,0.72,30251000.0,32053173000,21185871000,3175171000,32053173000.0,557874000,0.0481,0.339,2016-12,56.85258059347829
ES,2105135000,0.82,45763000.0,32355176000,21395412000,3284108000,32355176000.0,445349000,0.0534,0.3387,2017-03,60.6984128195142
ES,1762811000,0.72,24638000.0,32658840000,21617749000,3364336000,32658840000.0,-229817000,0.0575,0.338,2017-06,61.69015884399414
ES,1988512000,0.82,125761000.0,33163620000,22010015000,3474185000,33163620000.0,1260315000,0.0669,0.3363,2017-09,63.222539750356525
ES,1895494000,0.75,38165000.0,36220386000,24978574000,3561084000,36220386000.0,520355000,0.13,0.3103,2017-12,59.16622943565493
ES,2288000000,0.85,303810000.0,37039983000,25700699000,3670603000,37039983000.0,177714000,0.1447,0.3061,2018-03,57.55921870470047
ES,1853900000,0.76,64154000.0,37244344000,25815551000,3753343000,37244344000.0,520421000,0.1404,0.3068,2018-06,61.19079371861049
ES,2271400000,0.91,59092000.0,37515669000,25951321000,3882695000,37515669000.0,709527000,0.1312,0.3082,2018-09,65.16064471583212
ES,2035001000,0.73,108068000.0,38241256000,26598869000,3953974000,38241256000.0,422881000,0.0557,0.3044,2018-12,68.80274175828502
ES,2415800000,0.97,35145000.0,38941007000,27148003000,4092895000,38941007000.0,381435000,0.0513,0.3028,2019-03,73.17142837766617
ES,1884500000,0.1,20578000.0,38995906000,26885743000,3954492000,38995906000.0,543152000,0.047,0.3105,2019-06,79.38380964975508
ES,2175800000,0.98,22688000.0,39725394000,27448210000,4100220000,39725394000.0,570263000,0.0589,0.309,2019-09,83.12333340115018
ES,2050370000,0.77,15432000.0,41123915000,28338351000,4177048000,41123915000.0,514727000,0.0753,0.3109,2019-12,87.84064563628166
ES,2373700000,1.01,47425000.0,41648986000,28283460000,4322825000,41648986000.0,420306000,0.0695,0.3209,2020-03,82.72999948168558
ES,1953100000,0.75,64890000.0,42038718000,28077890000,4384093000,42038718000.0,585069000,0.078,0.332,2020-06,85.64063493032305
ES,2343642000,1.01,729993000.0,43507345000,29371758000,4535860000,43507345000.0,490834000,0.0952,0.3249,2020-09,89.08777763730004
ES,2233933000,0.79,106599000.0,46099598000,31880462000,4613201000,46099598000.0,186363000,0.1209,0.3084,2020-12,84.90387147472751
ES,2825840000,1.07,34112000.0,46518215000,32129225000,4772431000,46518215000.0,411416000,0.1169,0.3093,2021-03,84.30142829531715
ES,2122500000,0.77,217397000.0,47234640000,32767181000,4830058000,47234640000.0,396029000,0.1235,0.3062,2021-06,86.9098411438957
ES,2432794000,0.82,88204000.0,48014055000,33446874000,4906151000,48014055000.0,712828000,0.1035,0.3033,2021-09,85.9385718693809
ES,2481913000,0.89,66773000.0,48492144000,33736730000,5005391000,48492144000.0,442327000,0.0518,0.3042,2021-12,85.61111123221261
ES,3471310000,1.28,46175000.0,49289152000,34296892000,5229069000,49289152000.0,371940000,0.0595,0.3041,2022-03,88.90451603551065
ES,2572600000,0.84,29540000.0,49916240000,34703455000,5301054000,49916240000.0,469879000,0.0567,0.3047,2022-06,88.2942857288179
ES,3215600000,1.01,485716000.0,51599425000,36164682000,5429076000,51599425000.0,847085000,0.0746,0.2991,2022-09,79.3111110868908
ES,3029736000,0.92,374603000.0,53230900000,37602172000,5527153000,53230900000.0,712389000,0.0977,0.2936,2022-12,78.99483871459961
ES,3795643000,1.41,35975000.0,54105167000,38200226000,5782958000,54105167000.0,69157000,0.0977,0.2939,2023-03,74.58725836969191
ES,2629300000,0.04,42182000.0,54539745000,38830077000,5562889000,54539745000.0,578120000,0.0926,0.288,2023-06,66.67047615656777
ES,2791500000,0.97,78813000.0,56293343000,40451832000,5666861000,56293343000.0,521876000,0.0909,0.2814,2023-09,57.650634705074246
HR,40385000,0.45,9454000.0,1556419000,550105000,394909000,1556419000.0,27903000,-0.0207,0.6465,2002-03,30.370312452316284
HR,42770000,0.51,1070000.0,1532431000,529277000,-76100000,1532431000.0,28276000,-0.0533,0.6546,2002-06,30.78095236278716
HR,41531000,0.45,2743000.0,1491170000,568038000,-82452000,1491170000.0,35969000,-0.0501,0.619,2002-09,30.267460262964644
HR,11967000,0.0,402000.0,1489546000,581347000,-100435000,1489546000.0,13862000,-0.0423,0.6097,2002-12,27.881935396502094
HR,39194000,0.45,9063000.0,1483987000,581689000,0,1483987000.0,33891000,-0.0465,0.608,2003-03,28.27222218589177
HR,39787000,0.43,4267000.0,1481879000,586655000,-115699000,1481879000.0,22447000,-0.0329,0.6041,2003-06,31.79380958799332
HR,39506000,0.42,2014000.0,1522776000,611660000,-124316000,1522776000.0,29482000,0.0211,0.5983,2003-09,34.42746014065213
HR,30953000,0.16,4917000.0,1501802000,625672000,-162678000,1501802000.0,12783000,0.0082,0.5833,2003-12,39.5541937428136
HR,39835000,0.36,59125000.0,1647813000,752998000,-143503000,1647813000.0,17170000,0.1103,0.543,2004-03,36.59145146031533
HR,44127000,0.34,3126000.0,1691697000,807220000,-155215000,1691697000.0,37471000,0.1415,0.5228,2004-06,37.5477778116862
HR,48049000,0.33,4026000.0,1807296000,776984000,-171785000,1807296000.0,48084000,0.1868,0.57,2004-09,40.52492087227957
HR,45697000,0.24,2683000.0,1750810000,770194000,-222845000,1750810000.0,23513000,0.1658,0.56,2004-12,36.94290321103989
HR,48136000,0.45,6448000.0,1744241000,772402000,-233120000,1744241000.0,36292000,0.0585,0.5571,2005-03,38.29468762874603
HR,48431000,0.25,1634000.0,1729913000,776643000,-252830000,1729913000.0,15177000,0.0225,0.551,2005-06,39.28095257471478
HR,53500000,0.19,5386000.0,1740920000,809517000,-275686000,1740920000.0,40549000,-0.0367,0.535,2005-09,36.16777789403522
HR,8695000,0.25,7037000.0,1747652000,835184000,-295519000,1747652000.0,9587000,-0.0018,0.5221,2005-12,36.08967750303207
HR,38942000,0.27,2372000.0,1724568000,829689000,-314557000,1724568000.0,35361000,-0.0112,0.5189,2006-03,34.31476172189864
HR,42259000,0.25,4079000.0,1762233000,886927000,-334610000,1762233000.0,15681000,0.0186,0.4967,2006-06,34.9504760863289
HR,40402000,0.17,3747000.0,1737153000,884308000,-358111000,1737153000.0,40679000,-0.0021,0.4909,2006-09,39.736190432593936
HR,39601000,0.16,1950000.0,1736603000,910931000,-382005000,1736603000.0,17367000,-0.0063,0.4754,2006-12,39.751803226158266
HR,39517000,0.78,3833000.0,1657856000,1052838000,-604390000,1657856000.0,28479000,-0.0386,0.3649,2007-03,32.55746033078148
HR,39354000,0.29,642000.0,1445055000,855554000,-622340000,1445055000.0,13912000,-0.1799,0.4079,2007-06,25.389841261364165
HR,38908000,0.12,16120000.0,1500782000,854636000,-635311000,1500782000.0,21562000,-0.136,0.4305,2007-09,25.35634918818398
